epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.807,2.01688,0.28177,0.83978,1.96122,0.00011662,0.00011662,0.00011662
2,31.6402,1.53061,0.85635,1,0.96276,0.000217655,0.000217655,0.000217655
3,43.3372,0.82997,1,1,0.19772,0.000293949,0.000293949,0.000293949
4,54.9408,0.32136,1,1,0.04467,0.000345503,0.000345503,0.000345503
5,66.2579,0.21045,1,1,0.04248,0.000372318,0.000372318,0.000372318
6,77.5802,0.11875,1,1,0.02957,0.000374392,0.000374392,0.000374392
7,88.8102,0.09336,1,1,0.0182,0.000338198,0.000338198,0.000338198
8,100.082,0.07909,1,1,0.01906,0.000255731,0.000255731,0.000255731
9,111.584,0.04276,1,1,0.01713,0.000173264,0.000173264,0.000173264
10,122.877,0.0806,1,1,0.01152,9.0797e-05,9.0797e-05,9.0797e-05
